fighter,pearson
Matt Mitrione,0.3196592048398021
Sean Soriano,nan
Ruan Potts,nan
Francis Carmont,0.2504742703372965
Aaron Phillips,nan
Roland Delorme,0.16305061390678918
Anying Wang,nan
Sai Wang,nan
Elizabeth Phillips,nan
Tom Watson,-0.1583860304113412
Mike de la Torre,nan
Hernani Perpetuo,nan
Kyle Kingsbury,-0.04365828577302807
Akbarh Arreola,nan
Andreas Stahl,nan
Steven Siler,nan
Cody Donovan,0.14383300619857048
Justin Salas,nan
Jesse Ronson,-0.021532642833255067
Patrick Walsh,nan
Robert Drysdale,nan
George Roop,0.10276367865208531
Colton Smith,nan
Johnny Bedford,nan
Marcelo Guimaraes,nan
Clint Hester,nan
Chris Indich,nan
Bobby Voelker,nan
Yaotzin Meza,nan
Rodrigo Damm,nan
Vaughan Lee,0.1825489654757775
Chris Holdsworth,nan
Anthony Njokuani,nan
Constantinos Philippou,0.5833111359931424
Anthony Lapsley,nan
Estevan Payan,nan
Ryan Jimmo,nan
Mark Bocek,0.17049477266331053
Antonio Rodrigo Nogueira,0.10786880202596708
Ronny Markes,nan
Thiago Perpetuo,nan
Jake Shields,0.08343835934901579
Robert McDaniel,nan
